threshold,precision_fraud,recall_fraud,f1_fraud,pr_auc
0.1,0.26180257510729615,0.8243243243243243,0.3973941368078176,0.7802272869686588
0.15,0.32275132275132273,0.8243243243243243,0.46387832699619774,0.7802272869686588
0.2,0.3588235294117647,0.8243243243243243,0.5,0.7802272869686588
0.25,0.3885350318471338,0.8243243243243243,0.5281385281385281,0.7802272869686588
0.3,0.42657342657342656,0.8243243243243243,0.5622119815668203,0.7802272869686588
0.35,0.4420289855072464,0.8243243243243243,0.5754716981132075,0.7802272869686588
0.4,0.46923076923076923,0.8243243243243243,0.5980392156862745,0.7802272869686588
0.45,0.48412698412698413,0.8243243243243243,0.61,0.7802272869686588
0.5,0.5083333333333333,0.8243243243243243,0.6288659793814433,0.7802272869686588
0.55,0.5213675213675214,0.8243243243243243,0.6387434554973822,0.7802272869686588
0.6,0.5555555555555556,0.8108108108108109,0.6593406593406593,0.7802272869686588
